"profile";"bj";"color";"phl"
"100x100x5 mm";"";"";"PHL"
"100x100x6 mm";"";"";"PHL"
"100x100x8 mm";"";"";"PHL"
"100x100x10 mm";"";"";"PHL"
"120x120x5 mm";"";"";"PHL"
"120x120x6 mm";"";"";"PHL"
"120x120x8 mm";"";"";"PHL"
"120x120x10 mm";"";"";"PHL"
"140x140x5 mm";"";"";"PHL"
"140x140x6 mm";"";"";"PHL"
"140x140x8 mm";"";"";"PHL"
"140x140x10 mm";"";"";"PHL"
"150x150x5 mm";"";"";"PHL"
"150x150x6 mm";"";"";"PHL"
"150x150x8 mm";"";"";"PHL"
"150x150x10 mm";"";"";"PHL"
"150x150x12,5 mm";"";"";"PHL"
"150x150x16 mm";"";"";"PHL"
"160x160x5 mm";"";"";"PHL"
"160x160x6 mm";"";"";"PHL"
"160x160x8 mm";"";"";"PHL"
"160x160x10 mm";"";"";"PHL"
"180x180x5 mm";"";"";"PHL"
"180x180x6,3 mm";"";"";"PHL"
"180x180x8 mm";"";"";"PHL"
"180x180x10 mm";"";"";"PHL"
"200x200x5 mm";"";"";"PHL"
"200x200x6,3 mm";"";"";"PHL"
"200x200x8 mm";"";"";"PHL"
"200x200x10 mm";"";"";"PHL"
"200x200x12,5 mm";"";"";"PHL"
"200x200x16 mm";"";"";"PHL"
"250x250x6,3 mm";"";"";"PHL"
"250x250x8 mm";"";"";"PHL"
"250x250x10 mm";"";"";"PHL"
"250x250x12,5 mm";"";"";"PHL"
"300x300x10 mm";"";"";"PHL"
"400x400x20 mm";"";"";"PHL"
"25x25x2,5 mm";"";"";"PHL"
"25x25x3 mm";"";"";"PHL"
"30x30x2,5 mm";"";"";"PHL"
"30x30x3 mm";"";"";"PHL"
"40x40x2,5 mm";"";"";"PHL"
"90x90x3 mm";"";"";"PHL"
"100x100x3 mm";"";"";"PHL"
"120x120x4 mm";"";"";"PHL"
"200x200x6 mm";"";"";"PHL"
"200x200x12 mm";"";"";"PHL"
"250x250x12 mm";"";"";"PHL"
"300x300x12 mm";"";"";"PHL"
"400x400x16 mm";"";"";"PHL"
"50x25x2,5 mm";"";"";"PHL"
"50x30x3 mm";"";"";"PHL"
"50x30x4 mm";"";"";"PHL"
"50x30x5 mm";"";"";"PHL"
"60x40x3 mm";"";"";"PHL"
"60x40x4 mm";"";"";"PHL"
"60x40x5 mm";"";"";"PHL"
"80x40x3 mm";"";"";"PHL"
"80x40x4 mm";"";"";"PHL"
"80x40x5 mm";"";"";"PHL"
"90x50x3 mm";"";"";"PHL"
"90x50x4 mm";"";"";"PHL"
"90x50x5 mm";"";"";"PHL"
"100x50x3 mm";"";"";"PHL"
"100x50x4 mm";"";"";"PHL"
"100x50x5 mm";"";"";"PHL"
"100x50x6 mm";"";"";"PHL"
"100x60x4 mm";"";"";"PHL"
"100x60x5 mm";"";"";"PHL"
"100x60x6 mm";"";"";"PHL"
"120x60x4 mm";"";"";"PHL"
"120x60x5 mm";"";"";"PHL"
"120x60x6 mm";"";"";"PHL"
"120x80x4 mm";"";"";"PHL"
"120x80x5 mm";"";"";"PHL"
"120x80x6 mm";"";"";"PHL"
"120x80x8 mm";"";"";"PHL"
"120x80x10 mm";"";"";"PHL"
"140x80x4 mm";"";"";"PHL"
"140x80x5 mm";"";"";"PHL"
"140x80x6 mm";"";"";"PHL"
"150x100x5 mm";"";"";"PHL"
"150x100x6 mm";"";"";"PHL"
"150x100x8 mm";"";"";"PHL"
"150x100x10 mm";"";"";"PHL"
"160x80x5 mm";"";"";"PHL"
"160x80x6 mm";"";"";"PHL"
"160x80x8 mm";"";"";"PHL"
"160x80x10 mm";"";"";"PHL"
"180x100x5 mm";"";"";"PHL"
"180x100x8 mm";"";"";"PHL"
"180x100x10 mm";"";"";"PHL"
"200x100x5 mm";"";"";"PHL"
"200x100x8 mm";"";"";"PHL"
"200x100x10 mm";"";"";"PHL"
"200x100x12 mm";"";"";"PHL"
"200x120x6,3 mm";"";"";"PHL"
"200x120x8 mm";"";"";"PHL"
"200x120x10 mm";"";"";"PHL"
"200x120x12 mm";"";"";"PHL"
"250x150x6,3 mm";"";"";"PHL"
"250x150x8 mm";"";"";"PHL"
"250x150x10 mm";"";"";"PHL"
"250x150x12 mm";"";"";"PHL"
"300x200x6,3 mm";"";"";"PHL"
"300x200x8 mm";"";"";"PHL"
"300x200x10 mm";"";"";"PHL"
"300x200x12 mm";"";"";"PHL"
"400x200x10 mm";"";"";"PHL"
"400x200x12 mm";"";"";"PHL"
"400x200x16 mm";"";"";"PHL"
"450x250x10 mm";"";"";"PHL"
"450x250x12 mm";"";"";"PHL"
"450x250x16 mm";"";"";"PHL"
"500x300x20 mm";"";"";"PHL"
"50x30x2,5 mm";"";"";"PHL"
"60x40x2,5 mm";"";"";"PHL"
"70x50x3 mm";"";"";"PHL"
"70x50x4 mm";"";"";"PHL"
"70x50x5 mm";"";"";"PHL"
"100x60x3 mm";"";"";"PHL"
"100x80x4 mm";"";"";"PHL"
"100x80x5 mm";"";"";"PHL"
"180x100x6 mm";"";"";"PHL"
"200x100x6 mm";"";"";"PHL"
"200x120x5 mm";"";"";"PHL"
"200x120x6 mm";"";"";"PHL"
"250x150x5 mm";"";"";"PHL"
"300x100x5 mm";"";"";"PHL"
"300x100x8 mm";"";"";"PHL"
"300x100x10 mm";"";"";"PHL"
"300x200x5 mm";"";"";"PHL"
"400x200x8 mm";"";"";"PHL"
"400x200x12,5 mm";"";"";"PHL"
"400x300x16 mm";"";"";"PHL"
"8 mm";"";"";"PHL"
"10 mm";"";"";"PHL"
"15 mm";"";"";"PHL"
"20 mm";"";"";"PHL"
"25 mm";"";"";"PHL"
"32 mm";"";"";"PHL"
"40 mm";"";"";"PHL"
"50 mm";"";"";"PHL"
"65 mm";"";"";"PHL"
"80 mm";"";"";"PHL"
"100 mm";"";"";"PHL"
"125 mm";"";"";"PHL"
"150 mm";"";"";"PHL"
