profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
INP550;Klammeløsning;4;71;I-profiler;1,5900;;0;0;32
INP550;Bjælkeprofil eller PDP profil;1;52;I-profiler;0,4700;2;2;48;
INP550;Bjælkeprofil eller PDP profil;2;37;I-profiler;0,8450;1;2;32;
INP550;Bjælkeprofil eller PDP profil;3;65;I-profiler;1,4450;2;2;48;
INP550;Bjælkeprofil eller PDP profil;4;77;I-profiler;1,7900;4;0;64;
INP600;Klammeløsning;1;41;I-profiler;0,3898;;2;16;16
INP600;Klammeløsning;2;33;I-profiler;0,8600;;2;16;8
INP600;Klammeløsning;3;56;I-profiler;1,4600;;2;16;16
INP600;Klammeløsning;4;65;I-profiler;1,7200;;0;0;32
INP600;Bjælkeprofil eller PDP profil;1;48;I-profiler;0,4898;2;2;48;
INP600;Bjælkeprofil eller PDP profil;2;34;I-profiler;0,9100;1;2;32;
INP600;Bjælkeprofil eller PDP profil;3;59;I-profiler;1,5600;2;2;48;
INP600;Bjælkeprofil eller PDP profil;4;69;I-profiler;1,9200;4;0;64;
UNP30x15;Klammeløsning;1;356;U-profiler;0,1340;;2;16;16
UNP30x15;Klammeløsning;2;204;U-profiler;0,0900;;2;16;8
UNP30x15;Klammeløsning;3;340;U-profiler;0,1200;;2;16;16
UNP30x15;Klammeløsning;4;408;U-profiler;0,1800;;0;0;32
UNP30x15;Bjælkeprofil eller PDP profil;1;1097;U-profiler;0,2340;2;2;48;
UNP30x15;Bjælkeprofil eller PDP profil;2;340;U-profiler;0,1400;1;2;32;
UNP30x15;Bjælkeprofil eller PDP profil;3;611;U-profiler;0,2200;2;2;48;
UNP30x15;Bjælkeprofil eller PDP profil;4;951;U-profiler;0,3800;4;0;64;
UNP30;Klammeløsning;1;204;U-profiler;0,1570;;2;16;16
UNP30;Klammeløsning;2;116;U-profiler;0,1080;;2;16;8
UNP30;Klammeløsning;3;171;U-profiler;0,1380;;2;16;16
UNP30;Klammeløsning;4;232;U-profiler;0,2160;;0;0;32
UNP30;Bjælkeprofil eller PDP profil;1;420;U-profiler;0,2570;2;2;48;
UNP30;Bjælkeprofil eller PDP profil;2;171;U-profiler;0,1580;1;2;32;
UNP30;Bjælkeprofil eller PDP profil;3;282;U-profiler;0,2380;2;2;48;
UNP30;Bjælkeprofil eller PDP profil;4;453;U-profiler;0,4160;4;0;64;
UNP40x20;Klammeløsning;1;282;U-profiler;0,1410;;2;16;16
UNP40x20;Klammeløsning;2;164;U-profiler;0,1050;;2;16;8
UNP40x20;Klammeløsning;3;274;U-profiler;0,1450;;2;16;16
UNP40x20;Klammeløsning;4;328;U-profiler;0,2100;;0;0;32
UNP40x20;Bjælkeprofil eller PDP profil;1;737;U-profiler;0,2410;2;2;48;
UNP40x20;Bjælkeprofil eller PDP profil;2;246;U-profiler;0,1550;1;2;32;
UNP40x20;Bjælkeprofil eller PDP profil;3;438;U-profiler;0,2450;2;2;48;
UNP40x20;Bjælkeprofil eller PDP profil;4;656;U-profiler;0,4100;4;0;64;
UNP40;Klammeløsning;1;200;U-profiler;0,1590;;2;16;16
UNP40;Klammeløsning;2;121;U-profiler;0,1200;;2;16;8
UNP40;Klammeløsning;3;186;U-profiler;0,1600;;2;16;16
UNP40;Klammeløsning;4;242;U-profiler;0,2400;;0;0;32
UNP40;Bjælkeprofil eller PDP profil;1;405;U-profiler;0,2590;2;2;48;
UNP40;Bjælkeprofil eller PDP profil;2;170;U-profiler;0,1700;1;2;32;
UNP40;Bjælkeprofil eller PDP profil;3;282;U-profiler;0,2600;2;2;48;
UNP40;Bjælkeprofil eller PDP profil;4;435;U-profiler;0,4400;4;0;64;
UNP50x25;Klammeløsning;1;247;U-profiler;0,1470;;2;16;16
UNP50x25;Klammeløsning;2;153;U-profiler;0,1200;;2;16;8
UNP50x25;Klammeløsning;3;255;U-profiler;0,1700;;2;16;16
UNP50x25;Klammeløsning;4;305;U-profiler;0,2400;;0;0;32
UNP50x25;Bjælkeprofil eller PDP profil;1;580;U-profiler;0,2470;2;2;48;
UNP50x25;Bjælkeprofil eller PDP profil;2;214;U-profiler;0,1700;1;2;32;
UNP50x25;Bjælkeprofil eller PDP profil;3;377;U-profiler;0,2700;2;2;48;
UNP50x25;Bjælkeprofil eller PDP profil;4;549;U-profiler;0,4400;4;0;64;
UNP50;Klammeløsning;1;196;U-profiler;0,1620;;2;16;16
UNP50;Klammeløsning;2;124;U-profiler;0,1330;;2;16;8
UNP50;Klammeløsning;3;194;U-profiler;0,1830;;2;16;16
UNP50;Klammeløsning;4;248;U-profiler;0,2660;;0;0;32
UNP50;Bjælkeprofil eller PDP profil;1;384;U-profiler;0,2620;2;2;48;
UNP50;Bjælkeprofil eller PDP profil;2;166;U-profiler;0,1830;1;2;32;
UNP50;Bjælkeprofil eller PDP profil;3;279;U-profiler;0,2830;2;2;48;
UNP50;Bjælkeprofil eller PDP profil;4;416;U-profiler;0,4660;4;0;64;
UNP60;Klammeløsning;1;234;U-profiler;0,1520;;2;16;16
UNP60;Klammeløsning;2;140;U-profiler;0,1350;;2;16;8
UNP60;Klammeløsning;3;233;U-profiler;0,1950;;2;16;16
UNP60;Klammeløsning;4;279;U-profiler;0,2700;;0;0;32
UNP60;Bjælkeprofil eller PDP profil;1;512;U-profiler;0,2520;2;2;48;
UNP60;Bjælkeprofil eller PDP profil;2;186;U-profiler;0,1850;1;2;32;
UNP60;Bjælkeprofil eller PDP profil;3;326;U-profiler;0,2950;2;2;48;
UNP60;Bjælkeprofil eller PDP profil;4;465;U-profiler;0,4700;4;0;64;
UNP65;Klammeløsning;1;181;U-profiler;0,1670;;2;16;16
UNP65;Klammeløsning;2;119;U-profiler;0,1520;;2;16;8
UNP65;Klammeløsning;3;191;U-profiler;0,2170;;2;16;16
UNP65;Klammeløsning;4;237;U-profiler;0,3040;;0;0;32
UNP65;Bjælkeprofil eller PDP profil;1;340;U-profiler;0,2670;2;2;48;
UNP65;Bjælkeprofil eller PDP profil;2;152;U-profiler;0,2020;1;2;32;
UNP65;Bjælkeprofil eller PDP profil;3;257;U-profiler;0,3170;2;2;48;
UNP65;Bjælkeprofil eller PDP profil;4;370;U-profiler;0,5040;4;0;64;
UNP80;Klammeløsning;1;170;U-profiler;0,1710;;2;16;16
UNP80;Klammeløsning;2;114;U-profiler;0,1700;;2;16;8
UNP80;Klammeløsning;3;187;U-profiler;0,2500;;2;16;16
UNP80;Klammeløsning;4;228;U-profiler;0,3400;;0;0;32
UNP80;Bjælkeprofil eller PDP profil;1;309;U-profiler;0,2710;2;2;48;
UNP80;Bjælkeprofil eller PDP profil;2;141;U-profiler;0,2200;1;2;32;
UNP80;Bjælkeprofil eller PDP profil;3;241;U-profiler;0,3500;2;2;48;
UNP80;Bjælkeprofil eller PDP profil;4;337;U-profiler;0,5400;4;0;64;
UNP100;Klammeløsning;1;158;U-profiler;0,1770;;2;16;16
UNP100;Klammeløsning;2;112;U-profiler;0,1950;;2;16;8
UNP100;Klammeløsning;3;186;U-profiler;0,2950;;2;16;16
UNP100;Klammeløsning;4;223;U-profiler;0,3900;;0;0;32
UNP100;Bjælkeprofil eller PDP profil;1;276;U-profiler;0,2770;2;2;48;
UNP100;Bjælkeprofil eller PDP profil;2;134;U-profiler;0,2450;1;2;32;
UNP100;Bjælkeprofil eller PDP profil;3;230;U-profiler;0,3950;2;2;48;
UNP100;Bjælkeprofil eller PDP profil;4;312;U-profiler;0,5900;4;0;64;
UNP120;Klammeløsning;1;148;U-profiler;0,1830;;2;16;16
UNP120;Klammeløsning;2;103;U-profiler;0,2200;;2;16;8
UNP120;Klammeløsning;3;174;U-profiler;0,3400;;2;16;16
UNP120;Klammeløsning;4;206;U-profiler;0,4400;;0;0;32
UNP120;Bjælkeprofil eller PDP profil;1;249;U-profiler;0,2830;2;2;48;
UNP120;Bjælkeprofil eller PDP profil;2;121;U-profiler;0,2700;1;2;32;
UNP120;Bjælkeprofil eller PDP profil;3;209;U-profiler;0,4400;2;2;48;
UNP120;Bjælkeprofil eller PDP profil;4;277;U-profiler;0,6400;4;0;64;
UNP140;Klammeløsning;1;134;U-profiler;0,1900;;2;16;16
UNP140;Klammeløsning;2;99;U-profiler;0,2450;;2;16;8
UNP140;Klammeløsning;3;167;U-profiler;0,3850;;2;16;16
UNP140;Klammeløsning;4;197;U-profiler;0,4900;;0;0;32
UNP140;Bjælkeprofil eller PDP profil;1;217;U-profiler;0,2900;2;2;48;
UNP140;Bjælkeprofil eller PDP profil;2;113;U-profiler;0,2950;1;2;32;
UNP140;Bjælkeprofil eller PDP profil;3;197;U-profiler;0,4850;2;2;48;
UNP140;Bjælkeprofil eller PDP profil;4;255;U-profiler;0,6900;4;0;64;
UNP160;Klammeløsning;1;127;U-profiler;0,1960;;2;16;16
UNP160;Klammeløsning;2;94;U-profiler;0,2700;;2;16;8
UNP160;Klammeløsning;3;161;U-profiler;0,4300;;2;16;16
UNP160;Klammeløsning;4;188;U-profiler;0,5400;;0;0;32
UNP160;Bjælkeprofil eller PDP profil;1;200;U-profiler;0,2960;2;2;48;
UNP160;Bjælkeprofil eller PDP profil;2;107;U-profiler;0,3200;1;2;32;
UNP160;Bjælkeprofil eller PDP profil;3;186;U-profiler;0,5300;2;2;48;
UNP160;Bjælkeprofil eller PDP profil;4;238;U-profiler;0,7400;4;0;64;
UNP180;Klammeløsning;1;120;U-profiler;0,2020;;2;16;16
UNP180;Klammeløsning;2;90;U-profiler;0,2950;;2;16;8
UNP180;Klammeløsning;3;154;U-profiler;0,4750;;2;16;16
UNP180;Klammeløsning;4;179;U-profiler;0,5900;;0;0;32
UNP180;Bjælkeprofil eller PDP profil;1;185;U-profiler;0,3020;2;2;48;
UNP180;Bjælkeprofil eller PDP profil;2;100;U-profiler;0,3450;1;2;32;
UNP180;Bjælkeprofil eller PDP profil;3;175;U-profiler;0,5750;2;2;48;
UNP180;Bjælkeprofil eller PDP profil;4;222;U-profiler;0,7900;4;0;64;
UNP200;Klammeløsning;1;114;U-profiler;0,2080;;2;16;16
UNP200;Klammeløsning;2;86;U-profiler;0,3200;;2;16;8
UNP200;Klammeløsning;3;148;U-profiler;0,5200;;2;16;16
UNP200;Klammeløsning;4;171;U-profiler;0,6400;;0;0;32
UNP200;Bjælkeprofil eller PDP profil;1;172;U-profiler;0,3080;2;2;48;
UNP200;Bjælkeprofil eller PDP profil;2;95;U-profiler;0,3700;1;2;32;
UNP200;Bjælkeprofil eller PDP profil;3;167;U-profiler;0,6200;2;2;48;
UNP200;Bjælkeprofil eller PDP profil;4;209;U-profiler;0,8400;4;0;64;
UNP220;Klammeløsning;1;105;U-profiler;0,2150;;2;16;16
UNP220;Klammeløsning;2;81;U-profiler;0,3450;;2;16;8
UNP220;Klammeløsning;3;140;U-profiler;0,5650;;2;16;16
UNP220;Klammeløsning;4;161;U-profiler;0,6900;;0;0;32
UNP220;Bjælkeprofil eller PDP profil;1;155;U-profiler;0,3150;2;2;48;
UNP220;Bjælkeprofil eller PDP profil;2;89;U-profiler;0,3950;1;2;32;
UNP220;Bjælkeprofil eller PDP profil;3;156;U-profiler;0,6650;2;2;48;
UNP220;Bjælkeprofil eller PDP profil;4;193;U-profiler;0,8900;4;0;64;
UNP240;Klammeløsning;1;101;U-profiler;0,2210;;2;16;16
UNP240;Klammeløsning;2;77;U-profiler;0,3700;;2;16;8
UNP240;Klammeløsning;3;134;U-profiler;0,6100;;2;16;16
UNP240;Klammeløsning;4;154;U-profiler;0,7400;;0;0;32
UNP240;Bjælkeprofil eller PDP profil;1;146;U-profiler;0,3210;2;2;48;
UNP240;Bjælkeprofil eller PDP profil;2;84;U-profiler;0,4200;1;2;32;
UNP240;Bjælkeprofil eller PDP profil;3;148;U-profiler;0,7100;2;2;48;
UNP240;Bjælkeprofil eller PDP profil;4;183;U-profiler;0,9400;4;0;64;
UNP260;Klammeløsning;1;94;U-profiler;0,2280;;2;16;16
UNP260;Klammeløsning;2;73;U-profiler;0,3950;;2;16;8
UNP260;Klammeløsning;3;127;U-profiler;0,6550;;2;16;16
UNP260;Klammeløsning;4;145;U-profiler;0,7900;;0;0;32
UNP260;Bjælkeprofil eller PDP profil;1;134;U-profiler;0,3280;2;2;48;
UNP260;Bjælkeprofil eller PDP profil;2;79;U-profiler;0,4450;1;2;32;
UNP260;Bjælkeprofil eller PDP profil;3;139;U-profiler;0,7550;2;2;48;
UNP260;Bjælkeprofil eller PDP profil;4;170;U-profiler;0,9900;4;0;64;
UNP280;Klammeløsning;1;88;U-profiler;0,2350;;2;16;16
UNP280;Klammeløsning;2;71;U-profiler;0,4200;;2;16;8
UNP280;Klammeløsning;3;123;U-profiler;0,7000;;2;16;16
UNP280;Klammeløsning;4;141;U-profiler;0,8400;;0;0;32
UNP280;Bjælkeprofil eller PDP profil;1;123;U-profiler;0,3350;2;2;48;
UNP280;Bjælkeprofil eller PDP profil;2;76;U-profiler;0,4700;1;2;32;
UNP280;Bjælkeprofil eller PDP profil;3;135;U-profiler;0,8000;2;2;48;
UNP280;Bjælkeprofil eller PDP profil;4;164;U-profiler;1,0400;4;0;64;
UNP300;Klammeløsning;1;83;U-profiler;0,2420;;2;16;16
UNP300;Klammeløsning;2;69;U-profiler;0,4450;;2;16;8
UNP300;Klammeløsning;3;120;U-profiler;0,7450;;2;16;16
UNP300;Klammeløsning;4;137;U-profiler;0,8900;;0;0;32
UNP300;Bjælkeprofil eller PDP profil;1;114;U-profiler;0,3420;2;2;48;
UNP300;Bjælkeprofil eller PDP profil;2;74;U-profiler;0,4950;1;2;32;
UNP300;Bjælkeprofil eller PDP profil;3;130;U-profiler;0,8450;2;2;48;
UNP300;Bjælkeprofil eller PDP profil;4;157;U-profiler;1,0900;4;0;64;
UNP320;Klammeløsning;1;78;U-profiler;0,2450;;2;16;16
UNP320;Klammeløsning;2;56;U-profiler;0,4650;;2;16;8
UNP320;Klammeløsning;3;98;U-profiler;0,7850;;2;16;16
UNP320;Klammeløsning;4;111;U-profiler;0,9300;;0;0;32
UNP320;Bjælkeprofil eller PDP profil;1;106;U-profiler;0,3450;2;2;48;
UNP320;Bjælkeprofil eller PDP profil;2;60;U-profiler;0,5150;1;2;32;
UNP320;Bjælkeprofil eller PDP profil;3;106;U-profiler;0,8850;2;2;48;
UNP320;Bjælkeprofil eller PDP profil;4;127;U-profiler;1,1300;4;0;64;
UNP340;Klammeløsning;1;83;U-profiler;0,2420;;2;16;16
UNP340;Klammeløsning;2;59;U-profiler;0,4950;;2;16;8
UNP340;Klammeløsning;3;104;U-profiler;0,8450;;2;16;16
UNP340;Klammeløsning;4;117;U-profiler;0,9900;;0;0;32
UNP340;Bjælkeprofil eller PDP profil;1;114;U-profiler;0,3420;2;2;48;
UNP340;Bjælkeprofil eller PDP profil;2;63;U-profiler;0,5450;1;2;32;
UNP340;Bjælkeprofil eller PDP profil;3;112;U-profiler;0,9450;2;2;48;
UNP340;Bjælkeprofil eller PDP profil;4;132;U-profiler;1,1900;4;0;64;
UNP360;Klammeløsning;1;83;U-profiler;0,2440;;2;16;16
UNP360;Klammeløsning;2;60;U-profiler;0,5270;;2;16;8
UNP360;Klammeløsning;3;108;U-profiler;0,9070;;2;16;16
UNP360;Klammeløsning;4;120;U-profiler;1,0540;;0;0;32
UNP360;Bjælkeprofil eller PDP profil;1;113;U-profiler;0,3440;2;2;48;
UNP360;Bjælkeprofil eller PDP profil;2;64;U-profiler;0,5770;1;2;32;
UNP360;Bjælkeprofil eller PDP profil;3;115;U-profiler;1,0070;2;2;48;
UNP360;Bjælkeprofil eller PDP profil;4;135;U-profiler;1,2540;4;0;64;
UNP380;Klammeløsning;1;74;U-profiler;0,2560;;2;16;16
UNP380;Klammeløsning;2;56;U-profiler;0,5550;;2;16;8
UNP380;Klammeløsning;3;100;U-profiler;0,9550;;2;16;16
UNP380;Klammeløsning;4;112;U-profiler;1,1100;;0;0;32
UNP380;Bjælkeprofil eller PDP profil;1;99;U-profiler;0,3560;2;2;48;
UNP380;Bjælkeprofil eller PDP profil;2;60;U-profiler;0,6050;1;2;32;
UNP380;Bjælkeprofil eller PDP profil;3;107;U-profiler;1,0550;2;2;48;
UNP380;Bjælkeprofil eller PDP profil;4;125;U-profiler;1,3100;4;0;64;
40x40x3 mm;Klammeløsning;1;384;Kvadratiske rør varmvalsede;0,1560;;2;16;16
40x40x3 mm;Klammeløsning;2;185;Kvadratiske rør varmvalsede;0,1250;;2;16;8
40x40x3 mm;Klammeløsning;3;277;Kvadratiske rør varmvalsede;0,1650;;2;16;16
40x40x3 mm;Klammeløsning;4;369;Kvadratiske rør varmvalsede;0,2500;;0;0;32
40x40x3 mm;Bjælkeprofil eller PDP profil;1;800;Kvadratiske rør varmvalsede;0,2560;2;2;48;
40x40x3 mm;Bjælkeprofil eller PDP profil;2;254;Kvadratiske rør varmvalsede;0,1750;1;2;32;
40x40x3 mm;Bjælkeprofil eller PDP profil;3;415;Kvadratiske rør varmvalsede;0,2650;2;2;48;
40x40x3 mm;Bjælkeprofil eller PDP profil;4;646;Kvadratiske rør varmvalsede;0,4500;4;0;64;
40x40x4 mm;Klammeløsning;1;300;Kvadratiske rør varmvalsede;0,1580;;2;16;16
40x40x4 mm;Klammeløsning;2;144;Kvadratiske rør varmvalsede;0,1250;;2;16;8
40x40x4 mm;Klammeløsning;3;215;Kvadratiske rør varmvalsede;0,1650;;2;16;16
40x40x4 mm;Klammeløsning;4;287;Kvadratiske rør varmvalsede;0,2500;;0;0;32
40x40x4 mm;Bjælkeprofil eller PDP profil;1;613;Kvadratiske rør varmvalsede;0,2580;2;2;48;
40x40x4 mm;Bjælkeprofil eller PDP profil;2;197;Kvadratiske rør varmvalsede;0,1750;1;2;32;
40x40x4 mm;Bjælkeprofil eller PDP profil;3;323;Kvadratiske rør varmvalsede;0,2650;2;2;48;
40x40x4 mm;Bjælkeprofil eller PDP profil;4;501;Kvadratiske rør varmvalsede;0,4500;4;0;64;
40x40x5 mm;Klammeløsning;1;250;Kvadratiske rør varmvalsede;0,1600;;2;16;16
40x40x5 mm;Klammeløsning;2;119;Kvadratiske rør varmvalsede;0,1250;;2;16;8
40x40x5 mm;Klammeløsning;3;179;Kvadratiske rør varmvalsede;0,1650;;2;16;16
40x40x5 mm;Klammeløsning;4;238;Kvadratiske rør varmvalsede;0,2500;;0;0;32
40x40x5 mm;Bjælkeprofil eller PDP profil;1;500;Kvadratiske rør varmvalsede;0,2600;2;2;48;
40x40x5 mm;Bjælkeprofil eller PDP profil;2;164;Kvadratiske rør varmvalsede;0,1750;1;2;32;
40x40x5 mm;Bjælkeprofil eller PDP profil;3;268;Kvadratiske rør varmvalsede;0,2650;2;2;48;
40x40x5 mm;Bjælkeprofil eller PDP profil;4;417;Kvadratiske rør varmvalsede;0,4500;4;0;64;
50x50x3 mm;Klammeløsning;1;374;Kvadratiske rør varmvalsede;0,1660;;2;16;16
50x50x3 mm;Klammeløsning;2;181;Kvadratiske rør varmvalsede;0,1450;;2;16;8
50x50x3 mm;Klammeløsning;3;271;Kvadratiske rør varmvalsede;0,1950;;2;16;16
50x50x3 mm;Klammeløsning;4;362;Kvadratiske rør varmvalsede;0,2900;;0;0;32
50x50x3 mm;Bjælkeprofil eller PDP profil;1;707;Kvadratiske rør varmvalsede;0,2660;2;2;48;
50x50x3 mm;Bjælkeprofil eller PDP profil;2;235;Kvadratiske rør varmvalsede;0,1950;1;2;32;
50x50x3 mm;Bjælkeprofil eller PDP profil;3;380;Kvadratiske rør varmvalsede;0,2950;2;2;48;
50x50x3 mm;Bjælkeprofil eller PDP profil;4;578;Kvadratiske rør varmvalsede;0,4900;4;0;64;
50x50x4 mm;Klammeløsning;1;290;Kvadratiske rør varmvalsede;0,1680;;2;16;16
50x50x4 mm;Klammeløsning;2;140;Kvadratiske rør varmvalsede;0,1450;;2;16;8
50x50x4 mm;Klammeløsning;3;209;Kvadratiske rør varmvalsede;0,1950;;2;16;16
50x50x4 mm;Klammeløsning;4;279;Kvadratiske rør varmvalsede;0,2900;;0;0;32
50x50x4 mm;Bjælkeprofil eller PDP profil;1;540;Kvadratiske rør varmvalsede;0,2680;2;2;48;
50x50x4 mm;Bjælkeprofil eller PDP profil;2;181;Kvadratiske rør varmvalsede;0,1950;1;2;32;
50x50x4 mm;Bjælkeprofil eller PDP profil;3;293;Kvadratiske rør varmvalsede;0,2950;2;2;48;
50x50x4 mm;Bjælkeprofil eller PDP profil;4;446;Kvadratiske rør varmvalsede;0,4900;4;0;64;
50x50x5 mm;Klammeløsning;1;240;Kvadratiske rør varmvalsede;0,1700;;2;16;16
50x50x5 mm;Klammeløsning;2;115;Kvadratiske rør varmvalsede;0,1450;;2;16;8
50x50x5 mm;Klammeløsning;3;172;Kvadratiske rør varmvalsede;0,1950;;2;16;16
50x50x5 mm;Klammeløsning;4;230;Kvadratiske rør varmvalsede;0,2900;;0;0;32
50x50x5 mm;Bjælkeprofil eller PDP profil;1;440;Kvadratiske rør varmvalsede;0,2700;2;2;48;
50x50x5 mm;Bjælkeprofil eller PDP profil;2;149;Kvadratiske rør varmvalsede;0,1950;1;2;32;
50x50x5 mm;Bjælkeprofil eller PDP profil;3;241;Kvadratiske rør varmvalsede;0,2950;2;2;48;
50x50x5 mm;Bjælkeprofil eller PDP profil;4;367;Kvadratiske rør varmvalsede;0,4900;4;0;64;
60x60x3 mm;Klammeløsning;1;367;Kvadratiske rør varmvalsede;0,1760;;2;16;16
60x60x3 mm;Klammeløsning;2;179;Kvadratiske rør varmvalsede;0,1650;;2;16;8
60x60x3 mm;Klammeløsning;3;268;Kvadratiske rør varmvalsede;0,2250;;2;16;16
60x60x3 mm;Klammeløsning;4;357;Kvadratiske rør varmvalsede;0,3300;;0;0;32
60x60x3 mm;Bjælkeprofil eller PDP profil;1;645;Kvadratiske rør varmvalsede;0,2760;2;2;48;
60x60x3 mm;Bjælkeprofil eller PDP profil;2;223;Kvadratiske rør varmvalsede;0,2150;1;2;32;
60x60x3 mm;Bjælkeprofil eller PDP profil;3;357;Kvadratiske rør varmvalsede;0,3250;2;2;48;
60x60x3 mm;Bjælkeprofil eller PDP profil;4;535;Kvadratiske rør varmvalsede;0,5300;4;0;64;
60x60x4 mm;Klammeløsning;1;284;Kvadratiske rør varmvalsede;0,1780;;2;16;16
60x60x4 mm;Klammeløsning;2;137;Kvadratiske rør varmvalsede;0,1650;;2;16;8
60x60x4 mm;Klammeløsning;3;205;Kvadratiske rør varmvalsede;0,2250;;2;16;16
60x60x4 mm;Klammeløsning;4;274;Kvadratiske rør varmvalsede;0,3300;;0;0;32
60x60x4 mm;Bjælkeprofil eller PDP profil;1;492;Kvadratiske rør varmvalsede;0,2780;2;2;48;
60x60x4 mm;Bjælkeprofil eller PDP profil;2;171;Kvadratiske rør varmvalsede;0,2150;1;2;32;
60x60x4 mm;Bjælkeprofil eller PDP profil;3;274;Kvadratiske rør varmvalsede;0,3250;2;2;48;
60x60x4 mm;Bjælkeprofil eller PDP profil;4;410;Kvadratiske rør varmvalsede;0,5300;4;0;64;
60x60x5 mm;Klammeløsning;1;234;Kvadratiske rør varmvalsede;0,1800;;2;16;16
60x60x5 mm;Klammeløsning;2;112;Kvadratiske rør varmvalsede;0,1650;;2;16;8
60x60x5 mm;Klammeløsning;3;168;Kvadratiske rør varmvalsede;0,2250;;2;16;16
60x60x5 mm;Klammeløsning;4;224;Kvadratiske rør varmvalsede;0,3300;;0;0;32
60x60x5 mm;Bjælkeprofil eller PDP profil;1;400;Kvadratiske rør varmvalsede;0,2800;2;2;48;
60x60x5 mm;Bjælkeprofil eller PDP profil;2;140;Kvadratiske rør varmvalsede;0,2150;1;2;32;
60x60x5 mm;Bjælkeprofil eller PDP profil;3;224;Kvadratiske rør varmvalsede;0,3250;2;2;48;
60x60x5 mm;Bjælkeprofil eller PDP profil;4;336;Kvadratiske rør varmvalsede;0,5300;4;0;64;
70x70x3 mm;Klammeløsning;1;362;Kvadratiske rør varmvalsede;0,1860;;2;16;16
70x70x3 mm;Klammeløsning;2;177;Kvadratiske rør varmvalsede;0,1850;;2;16;8
70x70x3 mm;Klammeløsning;3;265;Kvadratiske rør varmvalsede;0,2550;;2;16;16
70x70x3 mm;Klammeløsning;4;353;Kvadratiske rør varmvalsede;0,3700;;0;0;32
70x70x3 mm;Bjælkeprofil eller PDP profil;1;600;Kvadratiske rør varmvalsede;0,2860;2;2;48;
70x70x3 mm;Bjælkeprofil eller PDP profil;2;215;Kvadratiske rør varmvalsede;0,2350;1;2;32;
70x70x3 mm;Bjælkeprofil eller PDP profil;3;341;Kvadratiske rør varmvalsede;0,3550;2;2;48;
70x70x3 mm;Bjælkeprofil eller PDP profil;4;504;Kvadratiske rør varmvalsede;0,5700;4;0;64;
70x70x4 mm;Klammeløsning;1;279;Kvadratiske rør varmvalsede;0,1880;;2;16;16
70x70x4 mm;Klammeløsning;2;135;Kvadratiske rør varmvalsede;0,1850;;2;16;8
70x70x4 mm;Klammeløsning;3;202;Kvadratiske rør varmvalsede;0,2550;;2;16;16
70x70x4 mm;Klammeløsning;4;270;Kvadratiske rør varmvalsede;0,3700;;0;0;32
70x70x4 mm;Bjælkeprofil eller PDP profil;1;458;Kvadratiske rør varmvalsede;0,2880;2;2;48;
70x70x4 mm;Bjælkeprofil eller PDP profil;2;164;Kvadratiske rør varmvalsede;0,2350;1;2;32;
70x70x4 mm;Bjælkeprofil eller PDP profil;3;260;Kvadratiske rør varmvalsede;0,3550;2;2;48;
70x70x4 mm;Bjælkeprofil eller PDP profil;4;385;Kvadratiske rør varmvalsede;0,5700;4;0;64;
70x70x5 mm;Klammeløsning;1;229;Kvadratiske rør varmvalsede;0,1900;;2;16;16
70x70x5 mm;Klammeløsning;2;111;Kvadratiske rør varmvalsede;0,1850;;2;16;8
70x70x5 mm;Klammeløsning;3;166;Kvadratiske rør varmvalsede;0,2550;;2;16;16
70x70x5 mm;Klammeløsning;4;221;Kvadratiske rør varmvalsede;0,3700;;0;0;32
70x70x5 mm;Bjælkeprofil eller PDP profil;1;372;Kvadratiske rør varmvalsede;0,2900;2;2;48;
70x70x5 mm;Bjælkeprofil eller PDP profil;2;134;Kvadratiske rør varmvalsede;0,2350;1;2;32;
70x70x5 mm;Bjælkeprofil eller PDP profil;3;213;Kvadratiske rør varmvalsede;0,3550;2;2;48;
70x70x5 mm;Bjælkeprofil eller PDP profil;4;315;Kvadratiske rør varmvalsede;0,5700;4;0;64;
80x80x3 mm;Klammeløsning;1;359;Kvadratiske rør varmvalsede;0,1960;;2;16;16
80x80x3 mm;Klammeløsning;2;176;Kvadratiske rør varmvalsede;0,2050;;2;16;8
80x80x3 mm;Klammeløsning;3;264;Kvadratiske rør varmvalsede;0,2850;;2;16;16
80x80x3 mm;Klammeløsning;4;352;Kvadratiske rør varmvalsede;0,4100;;0;0;32
80x80x3 mm;Bjælkeprofil eller PDP profil;1;567;Kvadratiske rør varmvalsede;0,2960;2;2;48;
80x80x3 mm;Bjælkeprofil eller PDP profil;2;209;Kvadratiske rør varmvalsede;0,2550;1;2;32;
80x80x3 mm;Bjælkeprofil eller PDP profil;3;330;Kvadratiske rør varmvalsede;0,3850;2;2;48;
80x80x3 mm;Bjælkeprofil eller PDP profil;4;484;Kvadratiske rør varmvalsede;0,6100;4;0;64;
80x80x4 mm;Klammeløsning;1;275;Kvadratiske rør varmvalsede;0,1980;;2;16;16
80x80x4 mm;Klammeløsning;2;134;Kvadratiske rør varmvalsede;0,2050;;2;16;8
80x80x4 mm;Klammeløsning;3;200;Kvadratiske rør varmvalsede;0,2850;;2;16;16
