profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
HEB280;Bjælkeprofil eller PDP profil;3;69;H-profiler;0,9850;2;2;48;
HEB280;Bjælkeprofil eller PDP profil;4;95;H-profiler;1,4100;4;0;64;
HEB300;Klammeløsning;1;60;H-profiler;0,4480;;2;16;16
HEB300;Klammeløsning;2;41;H-profiler;0,6450;;2;16;8
HEB300;Klammeløsning;3;61;H-profiler;0,9450;;2;16;16
HEB300;Klammeløsning;4;81;H-profiler;1,2900;;0;0;32
HEB300;Bjælkeprofil eller PDP profil;1;69;H-profiler;0,5480;2;2;48;
HEB300;Bjælkeprofil eller PDP profil;2;43;H-profiler;0,6950;1;2;32;
HEB300;Bjælkeprofil eller PDP profil;3;65;H-profiler;1,0450;2;2;48;
HEB300;Bjælkeprofil eller PDP profil;4;89;H-profiler;1,4900;4;0;64;
HEB320;Klammeløsning;1;56;H-profiler;0,4510;;2;16;16
HEB320;Klammeløsning;2;39;H-profiler;0,6650;;2;16;8
HEB320;Klammeløsning;3;59;H-profiler;0,9850;;2;16;16
HEB320;Klammeløsning;4;78;H-profiler;1,3300;;0;0;32
HEB320;Bjælkeprofil eller PDP profil;1;64;H-profiler;0,5510;2;2;48;
HEB320;Bjælkeprofil eller PDP profil;2;41;H-profiler;0,7150;1;2;32;
HEB320;Bjælkeprofil eller PDP profil;3;63;H-profiler;1,0850;2;2;48;
HEB320;Bjælkeprofil eller PDP profil;4;85;H-profiler;1,5300;4;0;64;
HEB340;Klammeløsning;1;54;H-profiler;0,4530;;2;16;16
HEB340;Klammeløsning;2;38;H-profiler;0,6850;;2;16;8
HEB340;Klammeløsning;3;58;H-profiler;1,0250;;2;16;16
HEB340;Klammeløsning;4;75;H-profiler;1,3700;;0;0;32
HEB340;Bjælkeprofil eller PDP profil;1;61;H-profiler;0,5530;2;2;48;
HEB340;Bjælkeprofil eller PDP profil;2;40;H-profiler;0,7350;1;2;32;
HEB340;Bjælkeprofil eller PDP profil;3;61;H-profiler;1,1250;2;2;48;
HEB340;Bjælkeprofil eller PDP profil;4;82;H-profiler;1,5700;4;0;64;
HEB360;Klammeløsning;1;52;H-profiler;0,4550;;2;16;16
HEB360;Klammeløsning;2;37;H-profiler;0,7050;;2;16;8
HEB360;Klammeløsning;3;57;H-profiler;1,0650;;2;16;16
HEB360;Klammeløsning;4;73;H-profiler;1,4100;;0;0;32
HEB360;Bjælkeprofil eller PDP profil;1;59;H-profiler;0,5550;2;2;48;
HEB360;Bjælkeprofil eller PDP profil;2;39;H-profiler;0,7550;1;2;32;
HEB360;Bjælkeprofil eller PDP profil;3;60;H-profiler;1,1650;2;2;48;
HEB360;Bjælkeprofil eller PDP profil;4;80;H-profiler;1,6100;4;0;64;
HEB400;Klammeløsning;1;49;H-profiler;0,4580;;2;16;16
HEB400;Klammeløsning;2;37;H-profiler;0,7450;;2;16;8
HEB400;Klammeløsning;3;58;H-profiler;1,1450;;2;16;16
HEB400;Klammeløsning;4;74;H-profiler;1,4900;;0;0;32
HEB400;Bjælkeprofil eller PDP profil;1;56;H-profiler;0,5580;2;2;48;
HEB400;Bjælkeprofil eller PDP profil;2;39;H-profiler;0,7950;1;2;32;
HEB400;Bjælkeprofil eller PDP profil;3;61;H-profiler;1,2450;2;2;48;
HEB400;Bjælkeprofil eller PDP profil;4;80;H-profiler;1,6900;4;0;64;
HEB450;Klammeløsning;1;46;H-profiler;0,4620;;2;16;16
HEB450;Klammeløsning;2;35;H-profiler;0,7950;;2;16;8
HEB450;Klammeløsning;3;56;H-profiler;1,2450;;2;16;16
HEB450;Klammeløsning;4;69;H-profiler;1,5900;;0;0;32
HEB450;Bjælkeprofil eller PDP profil;1;52;H-profiler;0,5620;2;2;48;
HEB450;Bjælkeprofil eller PDP profil;2;36;H-profiler;0,8450;1;2;32;
HEB450;Bjælkeprofil eller PDP profil;3;58;H-profiler;1,3450;2;2;48;
HEB450;Bjælkeprofil eller PDP profil;4;75;H-profiler;1,7900;4;0;64;
HEB500;Klammeløsning;1;43;H-profiler;0,4660;;2;16;16
HEB500;Klammeløsning;2;34;H-profiler;0,8450;;2;16;8
HEB500;Klammeløsning;3;55;H-profiler;1,3450;;2;16;16
HEB500;Klammeløsning;4;67;H-profiler;1,6900;;0;0;32
HEB500;Bjælkeprofil eller PDP profil;1;49;H-profiler;0,5660;2;2;48;
HEB500;Bjælkeprofil eller PDP profil;2;35;H-profiler;0,8950;1;2;32;
HEB500;Bjælkeprofil eller PDP profil;3;57;H-profiler;1,4450;2;2;48;
HEB500;Bjælkeprofil eller PDP profil;4;72;H-profiler;1,8900;4;0;64;
HEB550;Klammeløsning;1;42;H-profiler;0,4680;;2;16;16
HEB550;Klammeløsning;2;34;H-profiler;0,8950;;2;16;8
HEB550;Klammeløsning;3;56;H-profiler;1,4450;;2;16;16
HEB550;Klammeløsning;4;67;H-profiler;1,7900;;0;0;32
HEB550;Bjælkeprofil eller PDP profil;1;47;H-profiler;0,5680;2;2;48;
HEB550;Bjælkeprofil eller PDP profil;2;35;H-profiler;0,9450;1;2;32;
HEB550;Bjælkeprofil eller PDP profil;3;58;H-profiler;1,5450;2;2;48;
HEB550;Bjælkeprofil eller PDP profil;4;72;H-profiler;1,9900;4;0;64;
HEB600;Klammeløsning;1;40;H-profiler;0,4700;;2;16;16
HEB600;Klammeløsning;2;34;H-profiler;0,9450;;2;16;8
HEB600;Klammeløsning;3;56;H-profiler;1,5450;;2;16;16
HEB600;Klammeløsning;4;67;H-profiler;1,8900;;0;0;32
HEB600;Bjælkeprofil eller PDP profil;1;46;H-profiler;0,5700;2;2;48;
HEB600;Bjælkeprofil eller PDP profil;2;35;H-profiler;0,9950;1;2;32;
HEB600;Bjælkeprofil eller PDP profil;3;58;H-profiler;1,6450;2;2;48;
HEB600;Bjælkeprofil eller PDP profil;4;72;H-profiler;2,0900;4;0;64;
HEB650;Klammeløsning;1;39;H-profiler;0,4720;;2;16;16
HEB650;Klammeløsning;2;34;H-profiler;0,9950;;2;16;8
HEB650;Klammeløsning;3;56;H-profiler;1,6450;;2;16;16
HEB650;Klammeløsning;4;67;H-profiler;1,9900;;0;0;32
HEB650;Bjælkeprofil eller PDP profil;1;45;H-profiler;0,5720;2;2;48;
HEB650;Bjælkeprofil eller PDP profil;2;35;H-profiler;1,0450;1;2;32;
HEB650;Bjælkeprofil eller PDP profil;3;59;H-profiler;1,7450;2;2;48;
HEB650;Bjælkeprofil eller PDP profil;4;71;H-profiler;2,1900;4;0;64;
HEB700;Klammeløsning;1;38;H-profiler;0,4740;;2;16;16
HEB700;Klammeløsning;2;33;H-profiler;1,0450;;2;16;8
HEB700;Klammeløsning;3;56;H-profiler;1,7450;;2;16;16
HEB700;Klammeløsning;4;66;H-profiler;2,0900;;0;0;32
HEB700;Bjælkeprofil eller PDP profil;1;44;H-profiler;0,5740;2;2;48;
HEB700;Bjælkeprofil eller PDP profil;2;34;H-profiler;1,0950;1;2;32;
HEB700;Bjælkeprofil eller PDP profil;3;58;H-profiler;1,8450;2;2;48;
HEB700;Bjælkeprofil eller PDP profil;4;70;H-profiler;2,2900;4;0;64;
HEB800;Klammeløsning;1;37;H-profiler;0,4760;;2;16;16
HEB800;Klammeløsning;2;33;H-profiler;1,1450;;2;16;8
HEB800;Klammeløsning;3;57;H-profiler;1,9450;;2;16;16
HEB800;Klammeløsning;4;66;H-profiler;2,2900;;0;0;32
HEB800;Bjælkeprofil eller PDP profil;1;43;H-profiler;0,5760;2;2;48;
